url,id_inmueble,precio,titulo,tipo_inmueble,calle,colonia,alcaldia,cp,recamaras,banos,m2_construidos,estacionamientos,antiguedad,amenidades,precio_m2_colonia,latitud,longitud,fecha_extraccion
https://propiedades.com/inmuebles/departamento-en-venta-c-elisa-nativitas-ciudad-de-mexico-cdmx-nativitas-df-30367304#pagina=9&tipos=residencial-venta&area=df&pos=43,29547962.0,4616050.0,"Departamento disponible en venta en C. Elisa, Nativitas, Ciudad de México, CDMX, Colonia Nativitas, C.P. 03500",Departamento,"Nativitas, Ciudad de México",Nativitas,Desconocida,3500.0,2.0,2.0,100.0,1.0,1.0,['Cisterna'],41860.0,,,2025-11-30 08:07:12
https://propiedades.com/inmuebles/casa-en-venta-town-house-con-roof-privado-del-valle-centro-df-30052839#pagina=30&tipos=residencial-venta&area=df&pos=14,30576473.0,12280000.0,"Casa en venta disponible en TOWN HOUSE CON ROOF PRIVADO, Colonia Del Valle Centro, C.P. 03100",Casa,"Col del Valle Centro, Ciudad de México",Del Valle Centro,Benito Juárez,3100.0,3.0,3.0,186.0,3.0,1.0,['Cisterna'],39090.0,19.386924,-99.163602,2025-11-30 08:07:25
https://propiedades.com/inmuebles/departamento-en-venta-av-rio-san-joaquin-498-amp-granada-miguel-hidalgo-11529-ciudad-de-mexico-cdmx-498-ampliacion-granada-df-30378556#pagina=7&tipos=residencial-venta&area=df&pos=39,30378536.0,9800000.0,"Venta de departamento en Av. Río San Joaquín 498, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX #498, Colonia Ampliación Granada, C.P. 11529",Departamento,Avenida Río San Joaquín 498,Ampliación Granada,Miguel Hidalgo,11529.0,2.0,2.0,,2.0,1.0,[],65250.0,19.444264,-99.199186,2025-11-30 08:07:41
https://propiedades.com/inmuebles/casa-en-venta-casma-635-lindavista-norte-df-30154033#pagina=12&tipos=residencial-venta&area=df&pos=29,30267469.0,8500000.0,"Venta de casa Casma #635, Colonia Lindavista Norte, C.P. 07300",Casa,"Guadalupe Insurgentes, Ciudad de México",Lindavista Norte,Gustavo A. Madero,7300.0,5.0,3.0,,3.0,15.0,['Cisterna'],22480.0,19.505739,-99.148014,2025-11-30 08:07:55
https://propiedades.com/inmuebles/casa-en-venta-cto-fuentes-del-pedregal-fuentes-del-pedregal-14140-ciudad-de-mexico-cdmx-fuentes-del-pedregal-df-30533963#pagina=11&tipos=residencial-venta&area=df&pos=16,30555978.0,13500000.0,"Casa en venta, Cto. Fuentes del Pedregal, Fuentes del Pedregal, 14140 Ciudad de México, CDMX, Colonia Fuentes del Pedregal, C.P. 14140",Casa,Venta,Fuentes del Pedregal,Desconocida,14140.0,4.0,3.0,357.0,5.0,30.0,[],27820.0,,,2025-11-30 08:08:23
https://propiedades.com/inmuebles/departamento-en-venta-departamento-con-balcones-en-roma-norte-350-roma-norte-df-30389889#pagina=35&tipos=residencial-venta&area=df&pos=24,29727779.0,6342800.0,"Venta de departamento en DEPARTAMENTO CON BALCONES EN ROMA NORTE #350Int. 1001, Colonia Roma Norte, C.P. 06700",Departamento,Departamento CON Balcones EN Roma Norte #350int. 1001,Roma Norte,Cuauhtémoc,6700.0,3.0,1.0,60.0,,1.0,['Cisterna'],54490.0,19.418323,-99.162565,2025-11-30 08:08:41
https://propiedades.com/inmuebles/departamento-en-venta-nuevo-leon-hipodromo-df-27563233#pagina=24&tipos=residencial-venta&area=df&pos=12,29799294.0,9272000.0,"Departamento en venta, Nuevo León, Colonia Hipódromo, C.P. 06100",Departamento,Venta,Hipódromo,Cuauhtémoc,6100.0,2.0,2.0,0.0,2.0,,[],62600.0,19.409371,-99.171213,2025-11-30 08:08:58
https://propiedades.com/inmuebles/casa-en-condominio-en-venta-calzada-general-anaya-san-diego-churubusco-df-29834834#pagina=28&tipos=residencial-venta&area=df&pos=3,30018547.0,13750000.0,"Venta de casa en condominio en CALZADA General Anaya, Colonia San Diego Churubusco, C.P. 04120",Casa,,San Diego Churubusco,Desconocida,4120.0,3.0,4.0,,2.0,12.0,"['Cisterna', 'Telefonía']",,,,2025-11-30 08:09:14
https://propiedades.com/inmuebles/departamento-en-venta-calz-gral-mariano-escobedo-sin-numero-anahuac-i-secc-miguel-hidalgo-11320-ciudad-de-mexico-cdm-sn-anahuac-ii-seccion-df-30432635#pagina=31&tipos=residencial-venta&area=df&pos=37,30560984.0,6300000.0,"Se vende departamento en Calz. Gral. Mariano Escobedo sin número, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDM #s/n, Colonia Anahuac II Sección, C.P. 11320",Departamento,Calzada Gral. Mariano Escobedo Sin Número,Anahuac Ii Sección,Miguel Hidalgo,11320.0,2.0,2.0,65.0,2.0,1.0,[],39760.0,19.407116,-99.190617,2025-11-30 08:09:30
https://propiedades.com/inmuebles/departamento-en-venta-parque-san-andres-parque-san-andres-df-29744938#pagina=23&tipos=residencial-venta&area=df&pos=10,29057759.0,3599999.0,"Departamento disponible en venta en Parque San Andrés, Colonia Parque San Andrés, C.P. 04040",Departamento,,Parque San Andrés,Azcapotzalco,4040.0,3.0,2.0,76.0,1.0,,[],37250.0,19.490523,-99.180752,2025-11-30 08:10:16
